x	y	cja	kja	vja	cfe	kfe	vfe	cmr	kmr	vmr	cav	kav	vav	cm	km	vm	cjn	kjn	vn	cjl	kjl	vjl	ca	ka	va	cs	ks	vs	co	ko	vo	cn	kn	vn	cd	kd	vd	cau	kau	vau	cw	kw	vw	csp	ksp	vsp	csm	ksm	vsm	c	k	v
-0.28	27.88	6.3	2.35	5.6	6.9	2.25	6.1	7.2	2.31	6.3	7.2	2.14	6.4	7.3	2.27	6.5	6.8	2.22	6.0	7.2	2.33	6.4	6.8	2.37	6.1	6.3	2.09	5.6	6.4	2.27	5.7	6.1	2.26	5.4	6.3	2.53	5.6	6.3	2.29	5.5	6.7	2.30	5.9	6.9	2.24	6.1	6.8	2.27	6.1	6.7	2.26	5.9
 5.35	22.85	3.7	1.74	3.3	4.2	1.83	3.7	4.8	1.95	4.3	4.7	1.97	4.2	4.8	1.86	4.2	4.6	2.07	4.1	5.0	2.03	4.4	4.7	2.04	4.2	4.7	2.08	4.1	4.0	1.91	3.5	3.4	1.83	3.0	3.4	1.72	3.0	3.7	1.82	3.3	4.1	1.77	3.6	4.4	1.84	3.9	4.8	2.04	4.2	4.1	1.80	3.7
3.53	36.31	2.9	1.68	2.6	3.0	1.78	2.7	3.1	1.66	2.8	3.0	1.90	2.7	2.8	1.86	2.5	2.8	1.56	2.5	2.7	1.67	2.4	2.5	1.71	2.2	2.8	1.58	2.5	2.6	1.75	2.4	3.4	2.07	3.0	3.1	2.08	2.8	3.0	1.87	2.7	3.0	1.74	2.7	2.9	1.72	2.6	2.7	1.64	2.4	2.9	1.76	2.6
3.53	36.31	2.5	1.58	2.2	3.0	1.79	2.6	3.1	1.96	2.7	3.6	2.16	3.2	3.4	2.00	3.0	3.4	1.91	3.0	2.9	1.91	2.6	2.8	1.94	2.5	3.0	1.81	2.7	2.3	1.69	2.1	2.7	1.84	2.4	2.7	1.70	2.4	2.6	1.73	2.3	2.8	1.73	2.5	3.1	1.81	2.8	3.0	1.88	2.6	2.9	1.75	2.6
3.1	36.76	3.0	1.17	2.8	3.3	1.22	3.1	3.3	1.22	3.1	3.5	1.30	3.3	3.5	1.34	3.3	3.7	1.39	3.3	3.6	1.36	3.3	3.5	1.34	3.2	3.3	1.29	3.0	2.8	1.24	2.6	3.2	1.28	3.0	2.9	1.16	2.8	3.0	1.23	2.8	3.1	1.19	3.0	3.4	1.29	3.1	3.5	1.34	3.2	3.2	1.25	3.0
7.81	36.83	4.4	1.76	3.9	4.4	1.68	4.0	4.4	1.68	3.9	4.3	1.74	3.9	4.3	1.68	3.8	4.4	1.63	4.0	4.6	1.58	4.1	4.4	1.57	4.0	4.2	1.63	3.7	3.9	1.71	3.5	4.2	1.72	3.7	4.2	1.75	3.8	4.1	1.71	3.7	4.4	1.71	3.9	4.4	1.70	3.9	4.4	1.59	4.0	4.3	1.70	3.8
1.08	26.96 	6.0	1.72	5.4	7.4	2.07	6.5	6.6	2.09	5.8	6.2	2.07	5.5	6.8	2.23	6.0	6.1	2.36	5.4	7.3	2.94	6.5	6.6	2.82	5.9	6.2	2.37	5.5	6.6	2.11	5.9	5.1	1.79	4.6	5.3	1.59	4.8	5.8	1.86	5.2	6.5	1.86	5.8	6.3	2.02	5.6	6.7	2.66	5.9	6.2	1.93	5.5
-0.26	35.81	4.3	1.52	3.8	4.5	1.88	4.0	4.3	2.04	3.8	4.6	1.86	4.1	4.2	1.93	3.8	4.0	2.20	3.5	3.6	2.06	3.2	3.6	1.93	3.2	3.9	1.95	3.5	3.7	1.71	3.3	4.6	1.86	4.1	4.1	1.98	3.7	4.1	1.82	3.7	4.3	1.76	3.9	4.2	1.78	3.8	3.7	2.00	3.3	4.2	1.78	3.8
5.28	35.38	3.8	1.70	3.4	4.3	2.09	3.8	5.4	1.99	4.8	5.7	2.29	5.1	5.7	2.43	5.0	5.7	2.41	5.0	5.2	2.46	4.6	4.9	2.09	4.4	4.8	2.13	4.3	3.9	1.83	3.5	4.7	1.77	4.2	4.2	1.75	3.8	4.3	1.79	3.8	4.4	1.83	3.9	5.1	2.05	4.5	5.1	2.23	4.5	4.7	1.91	4.2
6.18	35.75	3.8	1.24	3.5	4.1	1.28	3.8	4.5	1.38	4.1	4.5	1.45	4.1	4.4	1.48	4.0	4.4	1.44	4.0	4.5	1.51	4.1	4.3	1.45	3.9	4.1	1.44	3.7	3.8	1.35	3.5	3.9	1.26	3.7	3.5	1.20	3.3	3.8	1.29	3.5	4.0	1.27	3.7	4.2	1.38	3.9	4.3	1.47	3.9	4.1	1.33	3.7
